id,rotulo,MAIUSCULAS,EXCLAMA,ASPAS,POL_ABSOLUTO,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,interrog,affect,posemo,negemo,anx,anger,sad
94,FALSO,0.041327139339476564,0.0,0.0,0.5,0.5461300986257958,0.6127815342316851,0.18812463256907702,0.0,0.0,0.0,0.18812463256907702,0.0,0.5258236225003595,0.5262678685240827,0.5838702216935936,0.0,0.1724867724867725,0.0,0.0,0.1522633744855967,0.3724867724867725,0.0,0.1436130007558579,0.0,0.2601410934744268,0.0,0.0,0.0
875,FALSO,0.08398631667994247,0.0,0.0,0.125,0.5249569707401032,0.26142456656051816,0.16016016016016016,0.0,0.0,0.0,0.16016016016016016,0.0,0.26142456656051816,0.6171515683943982,0.4139804389581374,0.5,0.5873873873873874,0.0,0.0,0.6481481481481481,0.0,0.14977477477477477,0.24453024453024455,0.0,0.442942942942943,0.0,0.0,0.0
993,FALSO,0.04743545807630798,0.0,0.0,0.5,0.5019055815097124,0.4279959718026183,0.10582010582010581,0.0,0.0,0.0,0.10582010582010581,0.0,0.4279959718026183,0.5369093143949739,0.5240856378233719,0.0,0.3880952380952381,0.13194444444444445,0.0,0.0,0.6285714285714286,0.0,0.8078231292517007,0.3231292517006803,0.8779761904761905,0.0,0.0,0.0
103,FALSO,0.03406319273351488,0.0,0.0,0.375,0.7831325301204819,0.7056149805394517,0.24024024024024027,0.0,0.0,0.0,0.24024024024024027,0.0,0.6315832448762962,0.32724407007389805,0.7048243604889457,0.16666666666666666,0.7342342342342343,0.2995495495495496,0.0,0.9074074074074073,0.31711711711711715,0.29954954954954954,0.24453024453024455,0.12226512226512228,0.2214714714714715,0.0,0.5,0.0
83,FALSO,0.03541769609640245,0.0,0.0,0.875,0.423888244005924,0.41207054029368373,0.20671834625323,0.0,0.0,0.34689922480620156,0.20671834625323,0.34689922480620156,0.31651795124007587,0.23622659967095022,0.20768416903512227,0.21511627906976744,0.0,0.5155038759689923,0.0,0.501937984496124,0.2046511627906977,0.0,0.15780730897009967,0.15780730897009967,0.0,0.0,0.0,0.0
1104,FALSO,0.08967930449839473,0.0,0.0,0.5,0.5143486490481117,0.38057259542559685,0.14773776546629733,0.0,0.0,0.0,0.14773776546629733,0.0,0.33504615410365635,0.43264672701175305,0.5477203031523595,0.10249307479224377,0.6321329639889196,0.1842105263157895,0.283471837488458,0.15943367189904586,0.5850415512465375,0.27631578947368424,0.22556390977443613,0.07518796992481204,0.2723915050784857,0.0,0.0,0.0
2072,FALSO,0.05670947939327116,0.0,0.0,0.5,0.4905335628227195,0.38631288585314594,0.2318840579710145,0.0,0.0,0.0,0.15458937198067635,0.2594202898550725,0.31485616708262176,0.37451159697397957,0.5060388628165845,0.4826086956521739,0.14173913043478262,0.0,0.4449275362318841,0.8758454106280193,0.3060869565217392,0.0,0.11801242236024846,0.0,0.21376811594202902,0.0,0.0,0.0
1210,FALSO,0.012538367553714578,0.0,0.0,0.5,0.8850931677018634,0.6364114015499802,0.0966183574879227,0.0,0.0,0.0,0.0966183574879227,0.0,0.6364114015499802,0.8117362207997341,0.5341116239382538,0.20108695652173914,0.17717391304347826,0.6023550724637682,0.0,0.6256038647342995,0.0,0.0,0.14751552795031056,0.0,0.26721014492753625,0.0,0.0,0.0
583,FALSO,0.06700946959801081,0.7219730941704036,0.0,0.375,0.6061915824733914,0.5538997195615947,0.39860488290981566,0.0,0.0,0.0,0.39860488290981566,0.0,0.48019996477585236,0.5407745929400063,0.7588195997327818,0.16591928251121077,0.0,0.0,0.0,0.2580966616841056,0.0,0.1491031390134529,0.0,0.0,0.0,0.0,0.0,0.0
49,FALSO,0.14222996128410798,0.0,0.0,0.5,0.1032702237521515,0.27623091369314934,0.5765765765765767,0.0,0.0,0.0,0.5765765765765767,0.0,0.27623091369314934,0.28375794532582294,0.3907129252356728,0.2,0.17621621621621622,0.11981981981981983,0.5531531531531533,0.3111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
