id,MAIUSCULAS,EXCLAMA,ASPAS,POL_ABSOLUTO,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,interrog,affect,posemo,negemo,anx,anger,sad
993,0.2077922077922078,0.0,0.0,0.4,0.15530031107920553,0.08730158730158731,0.13095238095238093,0.0,0.0,0.0,0.17460317460317462,0.0,0.10476190476190476,0.08730158730158731,0.18896925858951172,0.0,0.18253968253968253,0.12169312169312167,0.0,0.0,0.0,0.0,0.4642857142857143,0.0,0.4897959183673469,0.0,0.0,0.0
103,0.2371541501976285,0.0,0.0,0.2,0.5215206467118199,0.5579710144927537,0.2391304347826087,0.0,0.0,0.0,0.31884057971014496,0.0,0.5739130434782609,0.15942028985507248,0.16648321408915795,0.25,1.0,0.3333333333333333,0.43478260869565216,0.5652173913043478,0.5217391304347826,0.25,0.2826086956521739,0.3913043478260869,0.14906832298136646,0.0,0.3478260869565217,0.0
83,0.19251336898395727,0.0,0.0,0.4,0.13981673071238546,0.21568627450980396,0.16176470588235295,0.0,0.0,0.0,0.21568627450980396,0.0,0.25882352941176473,0.21568627450980396,0.03685778108711839,0.0,0.0,0.1503267973856209,0.0,0.15294117647058822,0.3529411764705882,0.0,0.19117647058823528,0.5294117647058824,0.0,0.0,0.0,0.0
1104,0.3529411764705883,0.0,0.0,0.4,0.6275495122672184,0.4313725490196079,0.24264705882352944,0.0,0.0,0.0,0.32352941176470595,0.0,0.4529411764705882,0.4852941176470589,0.4627699180938198,0.16911764705882354,0.7892156862745098,0.22549019607843135,0.29411764705882354,0.15294117647058822,0.5294117647058824,0.2536764705882353,0.28676470588235303,0.2647058823529412,0.20168067226890754,0.0,0.0,0.0
2072,0.12121212121212123,0.0,0.0,0.4,0.272287362739624,0.13580246913580246,0.2037037037037037,0.0,0.0,0.0,0.13580246913580246,0.21296296296296294,0.08148148148148149,0.13580246913580246,0.13150492264416316,0.6388888888888888,0.1419753086419753,0.0,0.3703703703703704,0.4814814814814814,0.4444444444444444,0.0,0.12037037037037035,0.0,0.12698412698412698,0.0,0.0,0.0
1210,0.12121212121212123,0.0,0.0,0.4,0.43606923506420986,0.10185185185185186,0.15277777777777776,0.0,0.0,0.0,0.20370370370370366,0.0,0.12222222222222225,0.40740740740740733,0.3326300984528832,0.3194444444444444,0.21296296296296294,0.2839506172839506,0.0,0.5777777777777776,0.0,0.0,0.18055555555555555,0.0,0.19047619047619047,0.0,0.0,0.0
583,0.3116883116883117,0.0,0.0,0.2,0.3000717875089734,0.2619047619047619,0.29464285714285715,0.0,0.0,0.0,0.3928571428571429,0.0,0.2357142857142857,0.2619047619047619,0.25361663652802896,0.20535714285714285,0.0,0.0,0.0,0.18571428571428567,0.0,0.10267857142857142,0.0,0.0,0.0,0.0,0.0,0.0
49,0.1168831168831169,0.0,0.0,0.4,0.14213926776740846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06547619047619048,0.05967450271247739,0.20535714285714285,0.1369047619047619,0.09126984126984124,0.3571428571428571,0.18571428571428567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1180,0.0948616600790514,0.0,0.0,0.4,0.4734542276600393,0.3985507246376812,0.2391304347826087,0.0,0.0,0.0,0.15942028985507248,0.25,0.3826086956521739,0.2391304347826087,0.5599889928453494,0.0,0.3333333333333333,0.2222222222222222,0.0,0.2260869565217391,0.5217391304347826,0.125,0.0,0.0,0.0,0.0,0.0,0.0
131,0.18181818181818185,0.0,0.0,0.4,0.8659966499162478,0.5347222222222223,0.22916666666666666,0.0,0.0,0.0,0.3055555555555556,0.0,0.6416666666666667,0.4583333333333334,0.5337552742616033,0.9583333333333331,0.4791666666666667,0.4259259259259259,0.0,0.4333333333333333,0.75,0.2395833333333333,0.9479166666666669,0.0,1.0,0.0,0.0,0.375
